id,Title,Content,Excerpt,Permalink,SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"Total Sales",printing-detail,sealant,weight-color,window,Custom-printing,Dropdown-feature,Sealing-method,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Product Categories",Status,Format,Weight,Length,Width,Height,"Min Variation Price",Format,"Post Type","Product Version",product_type,parent_id
75,"#8-5/8 Regular","SKU: 858-R
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-r/,858-R,15.78,15.78,,instock,,visible,1,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,"Stock Size Envelopes",publish,,6,,,,43.22,,product,2.5.2,simple,0
76,"#6-3/4 Regular","SKU: 634-R
Style: #6-3/4 Commercial
Size: 3-5/8 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-5/8 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/6-34-commercial-634-r/,634-R,8.18,8.18,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,"Stock Size Envelopes",publish,,5,,,,12.65,,product,2.5.2,simple,0
77,"#10 Window Tint Zip Stick Self Seal","SKU: 10-W-Z-BKT
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-open-side-10-w-z-bkt/,10-W-Z-BKT,31.08,31.08,,instock,,visible,8,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,883,"#10 Open Side Window Tint-Front:Back",#110,,,"Stock Size Envelopes",publish,,8,,,,,,product,2.5.2,simple,0
78,"#10 Window Zip Stick Self Seal","SKU: 10-W-Z
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-open-side-10-w-z/,10-W-Z,29.22,29.22,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-G-10-Open-Side-Window-Front-Back.jpg,NI-G-10-Open-Side-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-G-10-Open-Side-Window-Front-Back.jpg,882,"#10 Open Side Window Front-Back",#110,,,"Stock Size Envelopes",publish,,8,,,,,,product,2.5.2,simple,0
79,"#10 Tint Zip Stick Self Seal","SKU: 10-Z-BKT
Style: #10 Open Side
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black",http://azenvelope.youareheremedia.com/product/10-open-side-10-z-bkt/,10-Z-BKT,29.50,29.50,,instock,,visible,14,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,10-Open-Side.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,874,"#10 Open Side",#110,,,"Stock Size Envelopes",publish,,8,,,,,,product,2.5.2,simple,0
80,"#10 Zip Stick Self Seal","SKU: 10-Z
Style: #10 Open Side
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Zip Stick
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Zip Stick",http://azenvelope.youareheremedia.com/product/10-open-side-10-z/,10-Z,27.78,27.78,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,10-Open-Side.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,874,"#10 Open Side",#110,,,"Stock Size Envelopes",publish,,8,,,,,,product,2.5.2,simple,0
81,"#10 Heat Resistant","SKU: 10-WH
Style: #10 Heat Resistant
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-heat-resistant-10-wh/,10-WH,27.94,27.94,,instock,,visible,8,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,"Stock Size Envelopes",publish,,7,,,,,,product,2.5.2,simple,0
82,"#10 Fast Forward Window","SKU: 10-FFW
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 11/16 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 11/16 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-ffw/,10-FFW,11.28,11.28,,instock,,visible,26,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-F-10-Fast-Forward-Window-Front-Back.jpg,NI-F-10-Fast-Forward-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-F-10-Fast-Forward-Window-Front-Back.jpg,881,"#10 Fast Forward Window -Front-Back","#80-Use This One",,,"#9 &amp; #10 Envelopes>Window",publish,,7,,,,17.60,,product,2.5.2,simple,0
83,"#10 Right Window","SKU: 10-RW
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 4-1/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 4-1/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-rw/,10-RW,13.82,13.82,,instock,,visible,3,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-E-10-Right-Window-Front-Back.jpg,NI-E-10-Right-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-E-10-Right-Window-Front-Back.jpg,880,"#10 Right Window -Front-Back","#80-Use This One",,,"#9 &amp; #10 Envelopes>Window",publish,,7,,,,21.45,,product,2.5.2,simple,0
84,"#10 Window Tint","SKU: 10-W-BKT
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-w-bkt/,10-W-BKT,13.27,13.27,,instock,,visible,1,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-D-10-Window-Tint-Front-Back.jpg,NI-D-10-Window-Tint-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-D-10-Window-Tint-Front-Back.jpg,872,"#10 Back","#80-Use This One",,,"#9 &amp; #10 Envelopes>Window",publish,,7,14,10,6,20.63,,product,2.5.2,simple,0
